#{"t_start": 1776422118.4844239, "env_id": "None"}
r,l,t
-14548.12009,100,1.291325
-16496.690029,100,1.684565
-15606.470062,100,2.012081
-14703.630005,100,2.345852
-15238.670013,100,2.672025
-12916.869968,100,3.13729
-18325.230045,100,3.76161
-17676.700058,100,4.463842
-15006.180046,100,4.720058
-15762.820015,100,4.985138
-16274.740074,100,5.306083
-20134.690014,100,5.638675
-22899.940075,100,5.895483
-19337.280121,100,6.203054
-16086.559952,100,6.566716
-16873.660061,100,6.830829
-15443.409946,100,7.086196
-14731.91,100,7.357136
-16862.319992,100,7.683191
-19081.849926,100,7.908543
-15569.870049,100,22.748065
-17840.510033,100,23.532408
-16072.920033,100,24.201152
-15655.180023,100,24.852496
-21421.690105,100,25.416924
-16466.300156,100,25.959749
-14296.930054,100,27.539212
-17581.37999,100,28.362941
-19992.590149,100,29.166129
-17214.380005,100,29.771567
-12803.429955,100,30.138109
-19920.520073,100,30.476272
-17716.870056,100,30.848322
-15426.200058,100,31.448742
-15088.91003,100,32.058634
-21975.920082,100,32.640229
-15150.45998,100,33.48868
-18946.420033,100,34.467805
-19803.150005,100,35.241443
-16413.37001,100,36.982427
-13432.339981,100,55.595279
-10585.109978,100,56.163495
-18798.860077,100,57.643877
-16488.930035,100,58.301088
-14791.809948,100,58.980545
-15678.01001,100,59.627821
-17284.340023,100,60.244817
-16951.840031,100,60.81132
-18611.740097,100,61.745034
-15739.879963,100,62.415928
-13219.080013,100,62.972947
-11108.469971,100,63.584154
-16446.039986,100,64.133492
-13984.580048,100,64.657248
-13261.219982,100,64.94324
-16728.899952,100,65.436754
-14798.399998,100,66.155289
-14171.249996,100,66.723773
-16738.240173,100,67.460554
-12678.410034,100,67.765036
-16204.290096,100,68.084218
-13663.029987,100,88.364275
-14196.84993,100,88.657064
-14713.690014,100,88.908132
-14549.209953,100,89.173102
-14693.830051,100,89.456868
-14267.539993,100,89.726526
-13344.19009,100,89.981869
-22693.950073,100,90.237906
-15033.35006,100,90.489086
-14460.969986,100,90.740904
-12366.929993,100,90.986698
-11235.140049,100,91.252187
-18907.040146,100,91.56707
-15676.650028,100,91.918109
-13121.559998,100,92.211939
-12810.719948,100,92.468094
-14815.090034,100,92.75287
-7464.160007,100,93.066823
-16392.060032,100,93.388313
-11096.649979,100,93.648184
-15541.599979,100,114.668804
-13727.400009,100,115.042058
-13390.640106,100,115.390603
-14471.240047,100,115.708276
-12207.239941,100,115.955306
-14624.129963,100,116.219854
-11896.160038,100,116.47346
-15080.439976,100,116.759677
-10339.590012,100,117.082819
-8271.33997,100,117.371596
-14424.240025,100,117.677644
-12766.520027,100,118.01722
-16116.840038,100,119.559916
-16061.750088,100,120.445135
-17991.130039,100,121.610935
-12937.039963,100,121.950682
-16719.060005,100,122.492876
-15383.260117,100,123.096584
-14789.760052,100,123.670511
-12613.610023,100,124.225125
-10871.099991,100,124.762726
-17601.240112,100,139.345392
-9024.959965,100,139.663128
-12105.150078,100,139.954187
-10362.24004,100,140.239938
-11626.329967,100,140.484434
-11574.919979,100,140.814912
-13699.330029,100,141.143333
-8395.719959,100,141.471535
-13454.999966,100,141.777545
-12167.970016,100,142.086645
-13649.640018,100,142.412752
-9878.819992,100,146.230641
-11938.00005,100,147.736961
-13173.639954,100,148.006147
-9984.360012,100,148.278886
-12777.47002,100,148.553171
-15711.000011,100,148.850583
-11885.130009,100,151.009333
-13611.07,100,152.303502
-16110.660007,100,152.840948
-10776.469955,100,177.92631
-10786.490005,100,178.546249
-11461.590023,100,179.254408
-14535.690006,100,180.194803
-11529.260052,100,180.689503
-13518.250015,100,181.13848
-12686.739944,100,181.774911
-10489.210026,100,182.344976
-10985.189964,100,182.871168
-12153.970039,100,183.393182
-8945.5,100,183.982873
-8642.509975,100,184.53903
-10400.439983,100,184.784336
-12454.670006,100,185.078282
-17100.739994,100,185.374332
-13871.099968,100,185.696894
-6778.379971,100,186.069449
-9833.499958,100,186.424262
-11711.39003,100,186.735826
-9699.289955,100,187.056639
-9022.899975,100,187.412273
-12491.370068,100,212.48
-9776.719986,100,212.977126
-9923.699955,100,214.052406
-11552.289955,100,214.418199
-8516.119934,100,214.749758
-8282.119995,100,215.399557
-11836.510002,100,216.591201
-14200.96003,100,217.520519
-6488.759949,100,218.221431
-8723.099983,100,219.093094
-7377.019962,100,219.990074
-16926.329971,100,220.683319
-8549.449959,100,222.077035
-10322.800014,100,222.810115
-11636.189987,100,223.379568
-11631.549995,100,224.230353
-11265.429985,100,225.39994
-10783.069992,100,225.967074
-10909.489983,100,226.34824
-8161.229942,100,227.001874
-8931.160049,100,258.156914
-9758.369984,100,258.720986
-9156.999996,100,259.430866
-9376.989948,100,260.553306
-9166.679985,100,260.867417
-10853.920055,100,261.188571
-8811.39996,100,261.493052
-9499.590023,100,261.816791
-9454.729935,100,262.138563
-9969.050034,100,262.431939
-7001.509975,100,262.965427
-8608.749962,100,263.493862
-8260.559959,100,264.014446
-9858.26004,100,264.570951
-12103.980003,100,265.595612
-12237.110004,100,266.684634
-5997.979977,100,267.428293
-10021.769985,100,268.057838
-8264.41996,100,269.201492
-10057.709957,100,269.999777
-9587.799999,100,270.574356
-13350.680035,100,296.212178
-8067.259975,100,296.656081
-9223.219982,100,297.401904
-7308.760002,100,297.874894
-8015.669956,100,298.405687
-8419.849991,100,299.748644
-6864.129971,100,300.617714
-7162.329952,100,301.309329
-8398.239937,100,301.73223
-11809.819988,100,302.100729
-7700.279999,100,302.720641
-6366.309956,100,303.300942
-10156.089935,100,303.769971
-5389.109993,100,304.121775
-8446.129978,100,304.4477
-10018.890041,100,305.60493
-9432.349976,100,332.386983
-11518.899982,100,332.916273
-8172.209984,100,334.112211
-10161.04995,100,335.237078
-8990.019974,100,363.092324
-7504.559956,100,363.666994
-7448.309948,100,364.214612
-10933.590046,100,364.757027
