#{"t_start": 1777033401.828687, "env_id": "None"}
r,l,t
9982.903,100,3.407273
9895.838,100,3.407528
10338.977,100,3.407745
10485.36,100,3.407803
10607.033,100,3.407841
10742.632,100,3.407875
10190.18,100,3.407906
10388.714,100,3.407937
9999.047,100,3.407966
10325.212,100,3.407995
10020.4375,100,5.091875
10346.622,100,5.092055
10135.398,100,5.092108
10374.72,100,5.09214
10215.603,100,5.092168
9964.917,100,5.092194
9772.881,100,5.09222
9981.34,100,5.092245
9978.998,100,5.092269
10281.204,100,5.092293
9524.856,100,7.004761
10801.931,100,7.007052
9696.629,100,7.007395
10190.281,100,7.007477
10055.244,100,7.00751
9998.931,100,7.007537
10171.52,100,7.007567
10192.32,100,7.007593
10088.059,100,7.007616
9982.122,100,7.007638
9951.746,100,9.154667
10172.359,100,9.154884
10126.816,100,9.154953
10525.275,100,9.154985
10084.619,100,9.155012
10537.637,100,9.155039
10007.906,100,9.155068
9715.834,100,9.155094
10233.974,100,9.15512
9527.565,100,9.155148
9537.517,100,10.698545
10359.625,100,10.698704
10519.1,100,10.698729
10030.218,100,10.698745
10675.005,100,10.698759
10385.62,100,10.698773
10222.6875,100,10.698787
10134.373,100,10.698802
10426.964,100,10.698814
9984.125,100,10.698828
9769.45,100,71.856901
10030.188,100,71.857081
9846.668,100,71.85711
9935.89,100,71.857127
10586.58,100,71.857143
10277.666,100,71.857159
9940.506,100,71.85718
10323.878,100,71.857199
10315.303,100,71.857216
10289.153,100,71.857231
10025.145,100,73.016395
10429.114,100,73.016536
10044.328,100,73.016563
10066.939,100,73.016579
9994.594,100,73.016595
10266.634,100,73.01661
9862.298,100,73.016626
10256.031,100,73.016641
10309.366,100,73.016657
10112.149,100,73.016671
10069.773,100,74.951147
10612.56,100,74.951295
9768.6045,100,74.951367
10269.452,100,74.951392
9932.861,100,74.951412
10409.886,100,74.95143
10220.957,100,74.95145
10660.607,100,74.951469
10413.017,100,74.951487
10444.057,100,74.951505
10008.351,100,77.709749
10037.163,100,77.709915
9850.681,100,77.70994
10457.779,100,77.709957
10088.624,100,77.709973
9974.989,100,77.709988
9577.8,100,77.710003
10665.278,100,77.710017
10188.166,100,77.710032
10444.956,100,77.710047
10009.966,100,80.00163
10288.983,100,80.001786
9880.828,100,80.00183
10064.016,100,80.001857
10131.797,100,80.001882
10654.012,100,80.001904
